agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,2000000,1148000,"20 Nonpersonal service (57050) ... 2,000,000 ........... (re. $1,148,000)",178,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|2000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,1200000,196000,"21 Fringe benefits (60090) ... 1,200,000 ................. (re. $196,000)",178,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|1200000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,800000,686000,"22 Indirect costs (58850) ... 800,000 .................... (re. $686,000)",178,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|800000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2022,1500000,1500000,"179 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 Notwithstanding any inconsistent provision of law, a portion of this
2 appropriation may be suballocated to other state departments and
3 agencies, subject to the approval of the director of the budget, as
4 needed to accomplish the intent of this appropriation (23415).
5 Personal service (50000) ... 1,500,000 .............. (re. $1,500,000)",179,1.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23415|2022|1500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,1870000,1870000,"6 Nonpersonal service (57050) ... 1,870,000 ........... (re. $1,870,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|1870000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,510000,510000,"7 Fringe benefits (60090) ... 510,000 ................... (re. $510,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|510000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,320000,320000,"8 Indirect costs (58850) ... 320,000 .................... (re. $320,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|320000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2022,7000000,3822000,"9 For the administration of grants for specific programs including, but
10 not limited to, improving academic achievement, pursuant to title I
11 of the elementary and secondary education act, and the rural educa-
12 tion initiative pursuant to title V of the elementary and secondary
13 education act. Provided further that, notwithstanding any inconsist-
14 ent provision of law, the commissioner of education shall provide to
15 the director of the budget, the chairperson of the senate finance
16 committee and the chairperson of the assembly ways and means commit-
17 tee copies of any spending plans and/or budgets submitted to the
18 federal government with respect to the use of any funds appropriated
19 by the federal government including state grants administered by the
20 department.
21 Notwithstanding any inconsistent provision of law, a portion of this
22 appropriation may be suballocated to other state departments and
23 agencies, subject to the approval of the director of the budget, as
24 needed to accomplish the intent of this appropriation (23414).
25 Personal service (50000) ... 7,000,000 .............. (re. $3,822,000)",179,9.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23414|2022|7000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,13500000,2796000,"26 Nonpersonal service (57050) ... 13,500,000 .......... (re. $2,796,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|13500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,3500000,1365000,"27 Fringe benefits (60090) ... 3,500,000 ............... (re. $1,365,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|3500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,1300000,1039000,"28 Indirect costs (58850) ... 1,300,000 ................ (re. $1,039,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|1300000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23413,2022,400000,38000,"29 For the administration of grants for specific programs including, but
30 not limited to, homeless education pursuant to title VII of the
31 McKinney-Vento homeless assistance act.
32 Notwithstanding any inconsistent provision of law, a portion of this
33 appropriation may be suballocated to other state departments and
34 agencies, subject to the approval of the director of the budget, as
35 needed to accomplish the intent of this appropriation (23413).
36 Personal service (50000) ... 400,000 ................... (re. $38,000)",179,29.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23413|2022|400000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,600000,378000,"37 Nonpersonal service (57050) ... 600,000 ............... (re. $378,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|600000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,250000,18000,"38 Fringe benefits (60090) ... 250,000 .................... (re. $18,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|250000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,150000,119000,"39 Indirect costs (58850) ... 150,000 .................... (re. $119,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|150000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23477,2022,5000000,3245000,"40 For the administration of grants for specific programs including, but
41 not limited to, the Carl D. Perkins vocational and applied technolo-
42 gy education act (VTEA).
43 Notwithstanding any inconsistent provision of law, a portion of this
44 appropriation may be suballocated to other state departments and
45 agencies, subject to the approval of the director of the budget, as
46 needed to accomplish the intent of this appropriation (23477).
47 Personal service (50000) ... 5,000,000 .............. (re. $3,245,000)",179,40.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23477|2022|5000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,4000000,3250000,"48 Nonpersonal service (57050) ... 4,000,000 ........... (re. $3,250,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|4000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,2000000,877000,"49 Fringe benefits (60090) ... 2,000,000 ................. (re. $877,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|2000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,1000000,851000,"50 Indirect costs (58850) ... 1,000,000 .................. (re. $851,000)",179,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|1000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21809,2022,3000000,3000000,"180 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 suballocated to other state departments and agencies, subject to the
2 approval of the director of the budget, as needed to accomplish the
3 intent of this appropriation (21809).
4 Personal service (50000) ... 3,000,000 .............. (re. $3,000,000)",180,1.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21809|2022|3000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,4589000,4589000,"5 Nonpersonal service (57050) ... 4,589,000 ........... (re. $4,589,000)",180,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|4589000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,1500000,1500000,"6 Fringe benefits (60090) ... 1,500,000 ............... (re. $1,500,000)",180,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|1500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,750000,750000,"7 Indirect costs (58850) ... 750,000 .................... (re. $750,000)",180,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|750000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2022,20502000,1000,"8 For services and expenses for school-age children and preschool-age
9 children pursuant to the individuals with disabilities education act
10 of 1991. Notwithstanding any inconsistent provision of law, a
11 portion of this appropriation may be suballocated to other state
12 departments and agencies, as needed to accomplish the intent of this
13 appropriation (21737).
14 Personal service (50000) ... 20,502,000 ................. (re. $1,000)",180,8.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21737|2022|20502000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2022,17211000,2546000,"15 Nonpersonal service (57050) ... 17,211,000 .......... (re. $2,546,000)",180,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2022|17211000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2022,10940000,40000,"16 Fringe benefits (60090) ... 10,940,000 ................. (re. $40,000)",180,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2022|10940000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2022,6317000,39000,"17 Indirect costs (58850) ... 6,317,000 ................... (re. $39,000)",180,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2022|6317000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23418,2021,5300000,2849000,"181 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 and/or budgets submitted to the federal government with respect to
2 the use of any funds appropriated by the federal government includ-
3 ing state grants administered by the department.
4 Notwithstanding any inconsistent provision of law, a portion of this
5 appropriation may be suballocated to other state departments and
6 agencies, subject to the approval of the director of the budget, as
7 needed to accomplish the intent of this appropriation (23418).
8 Personal service (50000) ... 5,300,000 .............. (re. $2,849,000)",181,1.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23418|2021|5300000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,6300000,3779000,"9 Nonpersonal service (57050) ... 6,300,000 ........... (re. $3,779,000)",181,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|6300000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,1845000,787000,"10 Fringe benefits (60090) ... 1,845,000 ................. (re. $787,000)",181,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|1845000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,1225000,994000,"11 Indirect costs (58850) ... 1,225,000 .................. (re. $994,000)",181,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|1225000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23417,2021,3000000,1747000,"12 For the administration of grants for specific programs including, but
13 not limited to, English language acquisition program pursuant to
14 title III of the elementary and secondary education act. Provided
15 further that, notwithstanding any inconsistent provision of law, the
16 commissioner of education shall provide to the director of the budg-
17 et, the chairperson of the senate finance committee and the chair-
18 person of the assembly ways and means committee copies of any spend-
19 ing plans and/or budgets submitted to the federal government with
20 respect to the use of any funds appropriated by the federal govern-
21 ment including state grants administered by the department.
22 Notwithstanding any inconsistent provision of law, a portion of this
23 appropriation may be suballocated to other state departments and
24 agencies, subject to the approval of the director of the budget, as
25 needed to accomplish the intent of this appropriation (23417).
26 Personal service (50000) ... 3,000,000 .............. (re. $1,747,000)",181,12.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23417|2021|3000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,2000000,1274000,"27 Nonpersonal service (57050) ... 2,000,000 ........... (re. $1,274,000)",181,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|2000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,1200000,65000,"28 Fringe benefits (60090) ... 1,200,000 .................. (re. $65,000)",181,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|1200000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,800000,731000,"29 Indirect costs (58850) ... 800,000 .................... (re. $731,000)",181,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|800000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2021,1500000,437000,"182 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 of education shall provide to the director of the budget, the chair-
2 person of the senate finance committee and the chairperson of the
3 assembly ways and means committee copies of any spending plans
4 and/or budgets submitted to the federal government with respect to
5 the use of any funds appropriated by the federal government includ-
6 ing state grants administered by the department. Notwithstanding any
7 inconsistent provision of law, a portion of this appropriation may
8 be suballocated to other state departments and agencies, subject to
9 the approval of the director of the budget, as needed to accomplish
10 the intent of this appropriation (23415).
11 Personal service (50000) ... 1,500,000 ................ (re. $437,000)",182,1.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23415|2021|1500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,1870000,1552000,"12 Nonpersonal service (57050) ... 1,870,000 ........... (re. $1,552,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|1870000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,510000,17000,"13 Fringe benefits (60090) ... 510,000 .................... (re. $17,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|510000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,320000,223000,"14 Indirect costs (58850) ... 320,000 .................... (re. $223,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|320000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2021,7000000,4791000,"15 For the administration of grants for specific programs including, but
16 not limited to, improving academic achievement, pursuant to title I
17 of the elementary and secondary education act, and the rural educa-
18 tion initiative pursuant to title V of the elementary and secondary
19 education act. Provided further that, notwithstanding any inconsist-
20 ent provision of law, the commissioner of education shall provide to
21 the director of the budget, the chairperson of the senate finance
22 committee and the chairperson of the assembly ways and means commit-
23 tee copies of any spending plans and/or budgets submitted to the
24 federal government with respect to the use of any funds appropriated
25 by the federal government including state grants administered by the
26 department.
27 Notwithstanding any inconsistent provision of law, a portion of this
28 appropriation may be suballocated to other state departments and
29 agencies, subject to the approval of the director of the budget, as
30 needed to accomplish the intent of this appropriation (23414).
31 Personal service (50000) ... 7,000,000 .............. (re. $4,791,000)",182,15.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23414|2021|7000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,13500000,3053000,"32 Nonpersonal service (57050) ... 13,500,000 .......... (re. $3,053,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|13500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,3500000,2497000,"33 Fringe benefits (60090) ... 3,500,000 ............... (re. $2,497,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|3500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,1300000,1164000,"34 Indirect costs (58850) ... 1,300,000 ................ (re. $1,164,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|1300000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23413,2021,400000,113000,"35 For the administration of grants for specific programs including, but
36 not limited to, homeless education pursuant to title VII of the
37 McKinney-Vento homeless assistance act.
38 Notwithstanding any inconsistent provision of law, a portion of this
39 appropriation may be suballocated to other state departments and
40 agencies, subject to the approval of the director of the budget, as
41 needed to accomplish the intent of this appropriation (23413).
42 Personal service (50000) ... 400,000 .................. (re. $113,000)",182,35.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23413|2021|400000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,250000,68000,"43 Fringe benefits (60090) ... 250,000 .................... (re. $68,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|250000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,150000,24000,"44 Indirect costs (58850) ... 150,000 ..................... (re. $24,000)",182,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|150000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23477,2021,5000000,3988000,"45 For the administration of grants for specific programs including, but
46 not limited to, the Carl D. Perkins vocational and applied technolo-
47 gy education act (VTEA).
48 Notwithstanding any inconsistent provision of law, a portion of this
49 appropriation may be suballocated to other state departments and
50 agencies, subject to the approval of the director of the budget, as
51 needed to accomplish the intent of this appropriation (23477).
52 Personal service (50000) ... 5,000,000 .............. (re. $3,988,000)",182,45.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23477|2021|5000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,4000000,3291000,"183 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 Nonpersonal service (57050) ... 4,000,000 ........... (re. $3,291,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|4000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,2000000,1368000,"2 Fringe benefits (60090) ... 2,000,000 ............... (re. $1,368,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|2000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,1000000,930000,"3 Indirect costs (58850) ... 1,000,000 .................. (re. $930,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|1000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21809,2021,3000000,3000000,"4 For the administration of various grants.
5 Notwithstanding any inconsistent provision of law, a portion of this
6 appropriation may be suballocated to other state departments and
7 agencies, subject to the approval of the director of the budget, as
8 needed to accomplish the intent of this appropriation (21809).
9 Personal service (50000) ... 3,000,000 .............. (re. $3,000,000)",183,4.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21809|2021|3000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,4589000,4589000,"10 Nonpersonal service (57050) ... 4,589,000 ........... (re. $4,589,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|4589000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,1500000,1500000,"11 Fringe benefits (60090) ... 1,500,000 ............... (re. $1,500,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|1500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2021,750000,750000,"12 Indirect costs (58850) ... 750,000 .................... (re. $750,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2021|750000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2021,20502000,13000,"13 For services and expenses for school age children and preschool chil-
14 dren pursuant to the individuals with disabilities education act of
15 1991. Notwithstanding any inconsistent provision of law, a portion
16 of this appropriation may be suballocated to other state departments
17 and agencies, as needed to accomplish the intent of this appropri-
18 ation (21737).
19 Personal service (50000) ... 20,502,000 ................ (re. $13,000)",183,13.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|21737|2021|20502000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2021,17211000,276000,"20 Nonpersonal service (57050) ... 17,211,000 ............ (re. $276,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2021|17211000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2021,10940000,199000,"21 Fringe benefits (60090) ... 10,940,000 ................ (re. $199,000)",183,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2021|10940000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2020,1500000,230000,"9 For the administration of grants for specific programs including, but
10 not limited to, public charter schools pursuant to title IV of the
11 elementary and secondary education act. Provided further that,
12 notwithstanding any inconsistent provision of law, the commissioner
13 of education shall provide to the director of the budget, the chair-
14 person of the senate finance committee and the chairperson of the
15 assembly ways and means committee copies of any spending plans
16 and/or budgets submitted to the federal government with respect to
17 the use of any funds appropriated by the federal government includ-
18 ing state grants administered by the department.
19 Notwithstanding any inconsistent provision of law, a portion of this
20 appropriation may be suballocated to other state departments and
21 agencies, subject to the approval of the director of the budget, as
22 needed to accomplish the intent of this appropriation (23415).
23 Personal service (50000) ... 1,500,000 ................ (re. $230,000)",184,9.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23415|2020|1500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2020,1870000,743000,"24 Nonpersonal service (57050) ... 1,870,000 ............. (re. $743,000)",184,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2020|1870000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2020,510000,94000,"25 Fringe benefits (60090) ... 510,000 .................... (re. $94,000)",184,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2020|510000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2020,320000,266000,"26 Indirect costs (58850) ... 320,000 .................... (re. $266,000)",184,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2020|320000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2020,7000000,5119000,"27 For the administration of grants for specific programs including, but
28 not limited to, improving academic achievement, pursuant to title I
29 of the elementary and secondary education act, and the rural educa-
30 tion initiative pursuant to title V of the elementary and secondary
31 education act. Provided further that, notwithstanding any inconsist-
32 ent provision of law, the commissioner of education shall provide to
33 the director of the budget, the chairperson of the senate finance
34 committee and the chairperson of the assembly ways and means commit-
35 tee copies of any spending plans and/or budgets submitted to the
36 federal government with respect to the use of any funds appropriated
37 by the federal government including state grants administered by the
38 department.
39 Notwithstanding any inconsistent provision of law, a portion of this
40 appropriation may be suballocated to other state departments and
41 agencies, subject to the approval of the director of the budget, as
42 needed to accomplish the intent of this appropriation (23414).
43 Personal service (50000) ... 7,000,000 .............. (re. $5,119,000)",184,27.0,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|23414|2020|7000000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2020,13500000,2339000,"44 Nonpersonal service (57050) ... 13,500,000 .......... (re. $2,339,000)",184,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2020|13500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2020,3500000,2472000,"45 Fringe benefits (60090) ... 3,500,000 ............... (re. $2,472,000)",184,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2020|3500000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2020,1300000,1168000,"46 Indirect costs (58850) ... 1,300,000 ................ (re. $1,168,000)",184,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2020|1300000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,50000,2020,20502000,414000,"185 12550-10-5
EDUCATION DEPARTMENT
STATE OPERATIONS - REAPPROPRIATIONS 2025-26
1 Personal service (50000) ... 20,502,000 ............... (re. $414,000)",185,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|50000|2020|20502000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,57050,2020,17211000,302000,"2 Nonpersonal service (57050) ... 17,211,000 ............ (re. $302,000)",185,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|57050|2020|17211000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,60090,2020,10940000,116000,"3 Fringe benefits (60090) ... 10,940,000 ................ (re. $116,000)",185,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|60090|2020|10940000
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,58850,2020,6317000,116000,"4 Indirect costs (58850) ... 6,317,000 .................. (re. $116,000)",185,,2025-26,STOPS 25-26.pdf,EDUCATION DEPARTMENT|58850|2020|6317000
