agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key,program_purpose,program_category,recipient_name,recipient_type,recipients,statutory_references,has_transfer_authority,has_interchange_authority,transfer_targets,requires_approval,approval_authority,set_aside_amount,set_aside_purpose,percentage_allocations,time_limits,has_notwithstanding
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81065,2022,16000000,1000,"1 By chapter 54, section 1, of the laws of 2022:
2 For the preparation and review of plans, specifications, estimates,
3 studies, plant evaluations, inspections, appraisals and surveys, and
4 legal claims relating to existing or proposed facilities of the
5 department of corrections and community supervision, and payment of
6 personal service and nonpersonal service, including fringe benefits,
7 related to the administration and security of capital projects
8 provided by the department of corrections and community supervision
9 for new and reappropriated projects (10502250) (81065) .............
10 16,000,000 ............................................ (re. $1,000)",122,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81065|2022|16000000,,public_safety,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81062,2018,24000000,4000,"1 By chapter 54, section 1, of the laws of 2018:
2 Alterations and improvements, including related departmental adminis-
3 trative costs, for environmental protection or improvements includ-
4 ing liabilities incurred prior to April 1, 2018 (10061806) (81062)
5 ... 24,000,000 ........................................ (re. $4,000)",123,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81062|2018|24000000,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2011,16000000,3000,"125 12554-09-5
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 prior to April 1, 2011 (10011101) (81028) ..........................
2 16,000,000 ............................................ (re. $3,000)",125,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2011|16000000,,public_safety,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2009,16000000,3000,"3 By chapter 50, section 1, of the laws of 2009:
4 Alterations and improvements, including related departmental adminis-
5 trative costs, for health and safety including liabilities incurred
6 prior to April 1, 2009 (10010901) (81028) ..........................
7 16,000,000 ............................................ (re. $3,000)",125,3.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2009|16000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2007,20000000,2000,"8 By chapter 50, section 1, of the laws of 2007:
9 Alterations and improvements, including related departmental adminis-
10 trative costs, for health and safety including liabilities incurred
11 prior to April 1, 2007 (10010701) (81028) ..........................
12 20,000,000 ............................................ (re. $2,000)",125,8.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2007|20000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2005,30000000,1000,"13 By chapter 50, section 1, of the laws of 2005:
14 Alterations and improvements, including related departmental adminis-
15 trative costs, for health and safety including liabilities incurred
16 prior to April 1, 2005 (10010501) (81028) ..........................
17 30,000,000 ............................................ (re. $1,000)",125,13.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2005|30000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81028,2004,30000000,4000,"18 By chapter 50, section 1, of the laws of 2004:
19 Alterations and improvements, including related departmental adminis-
20 trative costs, for health and safety including liabilities incurred
21 prior to April 1, 2004 (10010401) (81028) ..........................
22 30,000,000 ............................................ (re. $4,000)",125,18.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81028|2004|30000000,,health,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2010,174000000,7000,"37 By chapter 50, section 1, of the laws of 2010:
38 Alterations and improvements, including related departmental adminis-
39 trative costs, for the preservation of facilities including liabil-
40 ities incurred prior to April 1, 2010 (10031003) (81010) ...........
41 174,000,000 ........................................... (re. $7,000)",127,37.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2010|174000000,,arts_culture,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2009,165000000,2000,"42 By chapter 50, section 1, of the laws of 2009:
43 Alterations and improvements, including related departmental adminis-
44 trative costs, for the preservation of facilities including liabil-
45 ities incurred prior to April 1, 2009 (10030903) (81010) ...........
46 165,000,000 ........................................... (re. $2,000)",127,42.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2009|165000000,,arts_culture,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2008,170000000,9000,"1 By chapter 50, section 1, of the laws of 2008:
2 Alterations and improvements, including related departmental adminis-
3 trative costs, for the preservation of facilities including liabil-
4 ities incurred prior to April 1, 2008 (10030803) (81010) ...........
5 170,000,000 ........................................... (re. $9,000)",128,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2008|170000000,,arts_culture,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81091,2008,15000000,1000,"6 Alterations and improvements, including related departmental adminis-
7 trative costs, for preventative maintenance that will prolong the
8 useful life of assets including liabilities incurred prior to April
9 1, 2008 (10M30803) (81091) ... 15,000,000 ............. (re. $1,000)",128,6.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81091|2008|15000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2007,147000000,58000,"10 By chapter 50, section 1, of the laws of 2007:
11 Alterations and improvements, including related departmental adminis-
12 trative costs, for the preservation of facilities including liabil-
13 ities incurred prior to April 1, 2007 (10030703) (81010) ...........
14 147,000,000 .......................................... (re. $58,000)",128,10.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2007|147000000,,arts_culture,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81010,2006,137000000,1000,"15 By chapter 50, section 1, of the laws of 2006:
16 Alterations and improvements, including related departmental adminis-
17 trative costs, for the preservation of facilities including liabil-
18 ities incurred prior to April 1, 2006 (10030603) (81010) ...........
19 137,000,000 ........................................... (re. $1,000)",128,15.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81010|2006|137000000,,arts_culture,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2011,76000000,3000,"26 By chapter 54, section 1, of the laws of 2011:
27 Alterations and improvements, including related departmental adminis-
28 trative costs, for program improvement or program change including
29 liabilities incurred prior to April 1, 2011 (10081108) (81063) .....
30 76,000,000 ............................................ (re. $3,000)",130,26.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2011|76000000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2009,90000000,55000,"31 By chapter 50, section 1, of the laws of 2009:
32 Alterations and improvements, including related departmental adminis-
33 trative costs, for program improvement or program change including
34 liabilities incurred prior to April 1, 2009 (10080908) (81063) .....
35 90,000,000 ........................................... (re. $55,000)",130,31.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2009|90000000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2008,85000000,24000,"36 By chapter 50, section 1, of the laws of 2008:
37 Alterations and improvements, including related departmental adminis-
38 trative costs, for program improvement or program change including
39 liabilities incurred prior to April 1, 2008 (10080808) (81063) .....
40 85,000,000 ........................................... (re. $24,000)",130,36.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2008|85000000,,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,81063,2006,44000000,1000,"41 By chapter 50, section 1, of the laws of 2006:
42 Alterations and improvements, including related departmental adminis-
43 trative costs, for program improvement or program change including
44 liabilities incurred prior to April 1, 2006 (10080608) (81063) .....
45 44,000,000 ............................................ (re. $1,000)",130,41.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|81063|2006|44000000,,,,,[],[],False,False,[],False,,,,[],[],False
DIVISION OF CRIMINAL JUSTICE SERVICES,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,60187,2022,22566000,22566000,"27 By chapter 54, section 1, of the laws of 2022:
28 To support capital investments related to statewide discovery data-
29 base, including but not limited to equipment, and technology
30 enhancements. All or a portion of the funds appropriated herein may
31 be transferred or suballocated to any state department, agency, or
32 the judiciary (CJDI2208) (60187) ... 25,000,000 .. (re. $22,566,000)",133,27.0,2025-26,CAP 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|60187|2022|22566000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DIVISION OF CRIMINAL JUSTICE SERVICES,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,60175,2024,50000000,40655000,"7 amended by chapter 54, section 1, of the laws of 2024, is hereby
8 amended and reappropriated to read:
9 For grants to support capital investments related to innovative crime-
10 reduction strategies in communities affected by gun violence. Recip-
11 ients of such grants shall be entitled to use such funds to purchase
12 commodities, services, and technology through centralized contracts
13 established by the office of general services under section 163 of
14 the state finance law, and such recipients shall be deemed for such
15 purpose to be authorized users within the meaning of paragraph k of
16 subdivision 1 of section 163 of the state finance law. All or a
17 portion of the funds appropriated herein may be suballocated to any
18 department or agency_.__A__p_o_r_t_i_o_n__o_f__t_h_i_s__a_p_p_r_o_p_r_i_a_t_i_o_n__h_e_r_e_i_n__m_a_y__b_e
19 _d_i_s_t_r_i_b_u_t_e_d__t_h_r_o_u_g_h__a__c_o_m_m_u_n_i_t_y__e_n_g_a_g_e_m_e_n_t__p_r_o_c_e_s_s_,___p_u_r_s_u_a_n_t___t_o___a
20 _p_l_a_n___s_u_b_m_i_t_t_e_d___b_y__t_h_e__c_o_m_m_i_s_s_i_o_n_e_r__o_f__d_i_v_i_s_i_o_n__o_f__c_r_i_m_i_n_a_l__j_u_s_t_i_c_e
21 _s_e_r_v_i_c_e_s__a_n_d__a_p_p_r_o_v_e_d__b_y___t_h_e___d_i_r_e_c_t_o_r___o_f___t_h_e___b_u_d_g_e_t__(CJGV2208)
22 (60175) ... 50,000,000 ........................... (re. $40,655,000)",135,7.0,2025-26,CAP 25-26.pdf,DIVISION OF CRIMINAL JUSTICE SERVICES|60175|2024|50000000,For grants to support capital investments related to innovative crime-,transportation,,,[],"[{""type"": ""state"", ""law_name"": ""state finance law"", ""section"": ""163"", ""full_citation"": ""section 163 of the state finance law""}]",False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2025,4200000,0,"19 For the maintenance and operation of various 20 facilities and systems including personal 21 services, fringe benefits and indirect 22 costs. Notwithstanding any other law to 23 the contrary, all or a portion of the 24 funds appropriated herein may be suballo- 25 cated or transferred to any department, 26 agency, or public authority (11PS2503) 27 (23304) ...................................... 4,200,000",137,27.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2025|4200000,,transportation,,,[],[],False,False,[],False,,,,[],[],True
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23486,2025,34000000,0,"138 12554-09-5 EDUCATION DEPARTMENT CAPITAL PROJECTS 2025-26 1 subject to distribution provisions in 2 subdivision 5 of section 273-a of the 3 education law on and upon approval by the 4 commissioner (11LC2508) (23486) ............. 34,000,000",138,4.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23486|2025|34000000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23369,2025,4470000,0,"10 SCHOOL FOR THE BLIND (CCP) ................................... 4,470,000 11 -------------- 12 Capital Projects Funds - Other 13 Capital Projects Fund - 30000 14 Program Improvement/Change Purpose 15 For various rehabilitation and renovation 16 projects to keep facilities at the School 17 for the Blind in a safe and satisfactory 18 operating condition subject to a plan 19 developed by the education department and 20 approved by the director of the budget 21 (11BB2508) (23369) ........................... 4,470,000",139,21.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23369|2025|4470000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2024,4200000,3521000,"10 For the maintenance and operation of various facilities and systems
11 including personal services, fringe benefits and indirect costs.
12 Notwithstanding any other law to the contrary, all or a portion of
13 the funds appropriated herein may be suballocated or transferred to
14 any department, agency, or public authority (11PS2403) (23304) ...
15 4,200,000 ......................................... (re. $3,521,000)",140,10.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2024|4200000,,transportation,,,[],[],False,False,[],False,,,,[],[],True
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2023,4200000,5200,"21 For the maintenance and operation of various facilities and systems
22 including personal services, fringe benefits and indirect costs.
23 Notwithstanding any other law to the contrary, all or a portion of
24 the funds appropriated herein may be suballocated or transferred to
25 any department, agency, or public authority (11PS2303) (23304) .....
26 4,200,000 ............................................. (re. $5,200)",140,21.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2023|4200000,,transportation,,,[],[],False,False,[],False,,,,[],[],True
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2022,4200000,27000,"32 For the maintenance and operation of various facilities and systems
33 including personal services, fringe benefits and indirect costs.
34 Notwithstanding any other law to the contrary, all or a portion of
35 the funds appropriated herein may be suballocated or transferred to
36 any department, agency, or public authority (11PS2203) (23304) .....
37 4,200,000 ............................................ (re. $27,000)",140,32.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2022|4200000,,transportation,,,[],[],False,False,[],False,,,,[],[],True
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2021,4200000,1486000,"141 12554-09-5
EDUCATION DEPARTMENT
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 any department, agency, or public authority (11PS2103) (23304) .....
2 4,200,000 ......................................... (re. $1,486,000)",141,1.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2021|4200000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23304,2019,4100000,278000,"13 For the maintenance and operation of various facilities and systems
14 including personal services, fringe benefits and indirect costs.
15 Notwithstanding any other law to the contrary, all or a portion of
16 the funds appropriated herein may be suballocated or transferred to
17 any department, agency, or public authority (11PS1903) (23304) .....
18 4,100,000 ........................................... (re. $278,000)",141,13.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23304|2019|4100000,,transportation,,,[],[],False,False,[],False,,,,[],[],True
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,21860,2016,3400000,11000,"29 By chapter 55, section 1, of the laws of 2016:
30 For various minor rehabilitation projects to keep facilities in a safe
31 operating condition subject to a plan developed by the education
32 department and approved by the director of the budget (11021603)
33 (21860) ... 3,400,000 ................................ (re. $11,000)",141,29.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|21860|2016|3400000,,education,,,[],[],False,False,[],False,,,,[],[],False
